ID,Density,Distance,Time,Gender,Age,MaritalStatus,HouseholdSize,CHS,OcR,IncomeT,METT,BLanes,MBus,M_motocycle,M_car,tricycle_taxi,taxi,HND,Degree,Posgraduate
118,0,3.0,8,1,37,0,8,3,1,1.7,0.2,1,0,1,0,0,0,1,0,0
149,1,8.6,25,0,28,0,2,0,0,1.6,0.15,1,0,0,0,0,0,1,0,0
306,0,10.0,15,1,31,1,1,0,1,1.8,0.3,1,0,1,0,0,0,0,0,0
273,1,10.0,25,0,28,1,1,0,0,1.2,0.12,1,0,0,0,0,0,0,0,0
307,1,10.0,30,0,26,1,1,0,0,0.7,0.05,0,1,0,0,1,0,0,0,0
135,1,3.0,10,1,34,0,5,2,1,3.0,0.4,1,1,0,0,0,0,0,1,0
353,0,5.3,22,0,36,1,4,2,0,0.48,0.1,0,1,0,0,1,0,0,0,1
49,1,12.5,33,1,53,0,7,3,1,2.5,0.12,0,0,1,0,0,0,0,1,0
65,1,1.5,5,1,34,0,3,2,1,3.0,0.2,1,0,0,0,0,0,0,1,0
56,1,7.5,20,1,48,0,6,3,1,3.5,0.3,0,1,0,0,0,0,0,1,0
331,1,3.1,8,0,51,0,8,6,1,4.5,0.35,0,0,0,0,0,0,0,1,0
194,1,4.5,12,0,29,1,1,0,0,0.75,0.07,1,1,0,0,1,0,0,0,0
330,1,0.4,5,1,41,0,6,3,0,0.54,0.065,1,0,1,0,0,0,0,0,0
304,1,3.7,15,1,27,1,6,1,1,1.5,0.06,0,0,1,0,0,0,0,0,0
154,0,0.3,3,1,34,0,6,3,0,1.45,0.1,0,0,1,0,0,0,1,0,0
140,1,16.0,45,1,33,1,3,1,0,0.85,0.06,0,0,0,1,0,0,0,0,0
202,0,1.5,7,1,30,1,1,0,0,0.88,0.2,1,0,1,0,0,0,0,0,0
413,1,3.4,20,0,35,0,4,2,0,1.6,0.07,0,1,0,0,1,0,1,0,0
179,1,3.0,2,0,35,0,4,2,0,0.98,0.18,0,1,0,1,0,0,0,0,0
314,0,0.55,5,0,34,0,4,2,0,0.8,0.2,1,1,1,0,0,0,0,0,0
128,1,13.6,35,0,30,0,6,3,0,1.0,0.6,0,0,0,0,0,0,1,0,0
399,1,4.3,20,1,46,0,5,1,1,2.5,0.3,1,0,0,0,0,0,0,1,0
240,0,6.0,8,1,38,0,5,3,1,1.8630000000000002,0.23,1,0,1,0,0,0,1,0,0
28,1,2.0,5,0,40,0,8,5,0,0.65,0.06,0,1,0,0,1,0,0,0,1
420,0,8.9,45,1,35,1,1,0,0,1.65,0.05,1,1,1,0,0,0,1,0,0
369,1,10.6,60,1,47,0,4,2,0,1.78,0.15,1,0,1,0,0,0,1,0,0
