ID,Vown
1.0,1
2.0,2
3.0,1
4.0,1
5.0,1
6.0,1
7.0,0
8.0,1
9.0,1
10.0,1
11.0,1
12.0,1
13.0,0
14.0,0
15.0,1
16.0,0
17.0,1
18.0,1
19.0,2
20.0,1
21.0,1
22.0,2
23.0,2
24.0,2
25.0,1
26.0,1
27.0,0
28.0,2
29.0,0
30.0,0
31.0,2
32.0,0
33.0,1
34.0,0
35.0,1
36.0,0
37.0,0
38.0,0
39.0,0
40.0,0
41.0,1
42.0,0
43.0,0
44.0,0
45.0,0
46.0,0
47.0,0
48.0,0
49.0,1
50.0,0
51.0,0
52.0,1
53.0,1
54.0,0
55.0,0
56.0,0
57.0,0
58.0,0
59.0,1
60.0,0
61.0,0
62.0,0
63.0,0
64.0,0
65.0,0
66.0,1
67.0,0
68.0,1
69.0,0
70.0,0
71.0,1
72.0,0
73.0,1
74.0,2
75.0,1
76.0,2
77.0,1
78.0,0
79.0,1
80.0,1
81.0,0
82.0,2
83.0,1
84.0,1
85.0,1
86.0,1
87.0,1
88.0,1
89.0,1
90.0,1
91.0,0
92.0,1
93.0,1
94.0,2
95.0,1
96.0,0
97.0,1
98.0,1
99.0,0
100.0,1
101.0,2
102.0,0
103.0,0
104.0,1
105.0,1
106.0,1
107.0,0
108.0,2
109.0,1
110.0,1
111.0,1
112.0,1
113.0,1
114.0,1
115.0,1
116.0,2
117.0,1
118.0,1
119.0,1
120.0,1
121.0,0
122.0,1
123.0,1
124.0,0
125.0,2
126.0,1
127.0,1
128.0,0
129.0,1
130.0,0
131.0,1
132.0,1
133.0,0
134.0,0
135.0,0
136.0,0
137.0,2
138.0,1
139.0,1
140.0,2
141.0,0
142.0,2
143.0,1
144.0,1
145.0,2
146.0,2
147.0,1
148.0,1
149.0,0
150.0,0
151.0,0
152.0,1
153.0,2
154.0,1
155.0,1
156.0,1
157.0,1
158.0,2
159.0,1
160.0,1
161.0,1
162.0,1
163.0,0
164.0,1
165.0,1
166.0,1
167.0,1
168.0,1
169.0,1
170.0,1
171.0,1
172.0,2
173.0,2
174.0,1
175.0,1
176.0,2
177.0,1
178.0,1
179.0,2
180.0,1
181.0,1
182.0,1
183.0,2
184.0,2
185.0,1
186.0,1
187.0,1
188.0,1
189.0,1
190.0,1
191.0,1
192.0,1
193.0,0
194.0,2
195.0,1
196.0,1
197.0,1
198.0,1
199.0,2
200.0,1
201.0,1
202.0,1
203.0,1
204.0,1
205.0,1
206.0,2
207.0,1
208.0,0
209.0,0
210.0,1
211.0,1
212.0,1
213.0,1
214.0,1
215.0,1
216.0,1
217.0,2
218.0,1
219.0,1
220.0,1
221.0,1
222.0,2
223.0,1
224.0,1
225.0,1
226.0,2
227.0,1
228.0,2
229.0,2
230.0,1
231.0,1
232.0,1
233.0,1
234.0,2
235.0,0
236.0,1
237.0,1
238.0,1
239.0,2
240.0,1
241.0,1
242.0,2
243.0,2
244.0,1
245.0,1
246.0,1
247.0,0
248.0,2
249.0,1
250.0,2
251.0,1
252.0,0
253.0,1
254.0,0
255.0,1
256.0,1
257.0,2
258.0,1
259.0,2
260.0,1
261.0,1
262.0,1
263.0,1
264.0,0
265.0,1
266.0,2
267.0,1
268.0,1
269.0,1
270.0,1
271.0,1
272.0,1
273.0,0
274.0,2
275.0,1
276.0,1
277.0,1
278.0,1
279.0,1
280.0,1
281.0,1
282.0,1
283.0,1
284.0,0
285.0,1
286.0,1
287.0,2
288.0,0
289.0,1
290.0,1
291.0,1
292.0,1
293.0,2
294.0,2
295.0,2
296.0,2
297.0,1
298.0,2
299.0,1
300.0,2
301.0,2
302.0,2
303.0,1
304.0,2
305.0,2
306.0,1
307.0,1
308.0,1
309.0,2
310.0,0
311.0,2
312.0,1
313.0,1
314.0,1
315.0,1
316.0,1
317.0,0
318.0,2
319.0,1
320.0,0
321.0,2
322.0,0
323.0,1
324.0,1
325.0,2
326.0,0
327.0,1
328.0,2
329.0,1
330.0,1
331.0,0
332.0,1
333.0,1
334.0,2
335.0,1
336.0,2
337.0,1
338.0,2
339.0,2
340.0,1
341.0,0
342.0,0
343.0,2
344.0,0
345.0,2
346.0,2
347.0,1
348.0,2
349.0,2
350.0,1
351.0,1
352.0,1
353.0,2
354.0,1
355.0,1
356.0,2
357.0,1
358.0,2
359.0,2
360.0,0
361.0,1
362.0,1
363.0,2
364.0,2
365.0,2
366.0,1
367.0,1
368.0,2
369.0,1
370.0,2
371.0,0
372.0,0
373.0,1
374.0,1
375.0,2
376.0,1
377.0,1
378.0,1
379.0,1
380.0,1
381.0,1
382.0,1
383.0,2
384.0,2
385.0,1
386.0,0
387.0,0
388.0,0
389.0,2
390.0,0
391.0,2
392.0,2
393.0,2
394.0,1
395.0,0
396.0,1
397.0,1
398.0,1
399.0,0
400.0,2
401.0,0
402.0,1
403.0,2
404.0,2
405.0,2
406.0,1
407.0,2
408.0,2
409.0,1
410.0,0
411.0,1
412.0,2
413.0,2
414.0,0
415.0,1
416.0,1
417.0,0
418.0,0
419.0,2
420.0,1
421.0,2
422.0,2
423.0,2
424.0,1
425.0,1
426.0,2
427.0,1
428.0,0
429.0,1
430.0,2
431.0,2
432.0,2
433.0,1
434.0,0
435.0,1
436.0,0
437.0,0
438.0,1
439.0,2
440.0,2
441.0,2
