ID,Vown
118,1
149,0
306,1
273,0
307,1
135,0
353,2
49,1
65,0
56,0
331,0
194,2
330,1
304,2
154,1
140,2
202,1
413,2
179,2
314,1
128,0
399,0
240,1
28,2
420,1
369,1
132,1
62,0
241,1
40,0
191,1
286,1
393,2
212,1
176,2
365,2
278,1
282,1
35,1
292,1
279,1
33,1
90,1
85,1
312,1
7,0
341,0
66,1
263,1
54,0
75,1
39,0
138,1
432,2
370,2
131,1
67,0
207,1
159,1
64,0
12,1
24,2
396,1
60,0
438,1
372,0
346,2
243,2
415,1
113,1
421,2
272,1
112,1
249,1
126,1
30,0
315,1
332,1
221,1
211,1
182,1
373,1
434,0
236,1
161,1
63,0
228,2
270,1
237,1
103,0
141,0
10,1
195,1
190,1
367,1
3,1
31,2
405,2
244,1
167,1
106,1
336,2
152,1
136,0
251,1
271,1
201,1
374,1
115,1
98,1
147,1
100,1
4,1
43,0
313,1
238,1
160,1
70,0
368,2
274,2
52,1
108,2
45,0
380,1
437,0
193,0
260,1
310,0
416,1
127,1
107,0
387,0
351,1
74,2
125,2
352,1
199,2
227,1
301,2
148,1
276,1
395,0
210,1
235,0
9,1
334,2
268,1
133,0
110,1
223,1
281,1
47,0
234,2
342,0
384,2
414,0
232,1
255,1
88,1
217,2
81,0
347,1
392,2
407,2
284,0
79,1
417,0
309,2
96,0
383,2
181,1
94,2
102,0
349,2
231,1
174,1
398,1
83,1
400,2
305,2
109,1
192,1
318,2
247,0
122,1
364,2
404,2
431,2
6,1
354,1
175,1
327,1
355,1
280,1
17,1
186,1
289,1
340,1
16,0
203,1
350,1
214,1
46,0
311,2
363,2
206,2
163,0
378,1
324,1
295,2
120,1
173,2
165,1
95,1
283,1
269,1
427,1
23,2
440,2
14,0
105,1
22,2
101,2
25,1
146,2
87,1
430,2
242,2
117,1
408,2
426,2
220,1
53,1
1,1
72,0
76,2
82,2
264,0
180,1
158,2
293,2
246,1
321,2
78,0
411,1
441,2
402,1
229,2
397,1
339,2
111,1
343,2
285,1
435,1
261,1
277,1
423,2
419,2
58,0
291,1
15,1
208,0
177,1
259,2
230,1
57,0
337,1
145,2
215,1
71,1
168,1
169,1
124,0
188,1
34,0
119,1
329,1
265,1
345,2
50,0
97,1
172,2
409,1
256,1
156,1
381,1
298,2
303,1
27,0
290,1
13,0
222,2
164,1
86,1
32,0
144,1
92,1
320,0
422,2
185,1
239,2
379,1
348,2
184,2
77,1
299,1
428,0
252,0
